id;firstname;lastname;title;sex;country;birthdate;deathdate;birthplace;deathplace
1;William Bernard;Adeney;\N;M;GB;1878-00-00;1966-00-00;London;London
2;Peter;Alma;\N;M;NL;1886-00-00;1969-00-00;Medan;Amsterdam
3;Natan;Alt'man;\N;M;RU;1889-00-00;1970-00-00;Vinnitsa;Saint Petersburg
4;Cuno;Amiet;\N;M;CH;1868-00-00;1961-00-00;Solothurn;Seeberg
5;Vassily;Kandinsky;\N;M;RU;1866-00-00;1944-00-00;Moscow;Neuilly-sur-Seine
6;Kazimir;Malevich;\N;M;RU;1878-00-00;1935-00-00;Kiev;Saint Petersburg
7;Piet;Mondrian;\N;M;NL;1872-00-00;1944-00-00;Amersfoort;New York
8;Alexander;Archipenko;\N;M;US;1887-00-00;1964-00-00;Kiev;New York
9;Hans;Arp;\N;M;FR;1886-00-00;1966-00-00;Strasburg;Basel
10;Lawrence;Atkinson;\N;M;GB;1873-00-00;1931-00-00;Manchester;Paris
11;Léon;Bakst;\N;M;RU;1866-00-00;1924-00-00;Hrodna;Paris
12;Hans;Arp;\N;M;FR;1886-00-00;1966-00-00;Strasburg;Basel
13;Lawrence;Atkinson;\N;M;GB;1873-00-00;1931-00-00;Manchester;Paris
14;Léon;Bakst;\N;M;RU;1866-00-00;1924-00-00;Hrodna;Paris
15;Giacomo;Balla;\N;M;IT;1871-00-00;1958-00-00;Turin;Rome
16;Vladimir (double`;Baranoff-Rossiné;\N;M;UA;1888-00-00;1944-00-00;Kherson;Auschwitz
17;Ernst;Barlach;\N;M;DE;1870-00-00;1938-00-00;Wedel;Rostock
18;Varvara;Stepanova;\N;F;RU;1894-00-00;1958-00-00;Kaunas;Moscow
19;Paul;Baum;\N;M;DE;1859-00-00;1932-00-00;Meissen;San Gimignano
20;Willi;Baumeister;\N;M;DE;1889-00-00;1955-00-00;Stuttgart;Stuttgart
21;Aubrey Vincent;Beardsley;\N;M;GB;1872-00-00;1898-00-00;Brighton;Menton
22;Vladimir Georgievich;Bekhteev;\N;M;RU;1878-00-00;1971-00-00;\N;\N
23;Max;Beckmann;\N;M;DE;1884-00-00;1950-00-00;Leipzig;New York
24;Vanessa;Bell;\N;F;GB;1879-00-00;1961-00-00;Kensington;West Sussex
25;George Wesley;Bellows;\N;M;US;1882-00-00;1925-00-00;Columbus, Ohio;New York
26;Vincenc;Beneš;\N;M;CZ;1883-00-00;1979-00-00;Lišice;Prague
27;Alexandre;Benois;\N;M;RU;1870-00-00;1960-00-00;Saint Petersburg;Paris
28;Róbert;Berény;\N;M;HU;1887-00-00;1953-00-00;Budapest;Budapest
29;Hendrik Petrus;Berlage;\N;M;NL;1856-00-00;1934-00-00;Amsterdam;Hague, The
30;Émile;Bernard;\N;M;FR;1868-00-00;1941-00-00;Lille;Paris
31;Robert Polhill;Bevan;\N;M;GB;1865-00-00;1925-00-00;Hove;London
32;Albert;Bloch;\N;M;US;1882-00-00;1961-00-00;St. Louis;Lawrence, Kansas
33;Umberto;Boccioni;\N;M;IT;1882-00-00;1916-00-00;Reggio Calabria;Verona
34;Arnold;Böcklin;\N;M;CH;1827-00-00;1901-00-00;Basel;San Domenico di Fièsole
35;Oleksandr;Bohomazov;\N;M;UA;1880-00-00;1930-00-00;Yampol;Kiev
36;David;Bomberg;\N;M;GB;1890-00-00;1957-00-00;Birmingham;London
37;Pierre;Bonnard;\N;M;FR;1867-00-00;1947-00-00;Fontenay-aux-Roses;Le Cannet
38;Viktor;Borisov-Musatov;\N;M;RU;1870-00-00;1905-00-00;Saratov;Tarusa
39;Emile-Antoine;Bourdelle;\N;M;FR;1861-00-00;1929-00-00;Montauban;Le Vésinet
40;Constantin;Brancusi;\N;M;RO;1876-00-00;1957-00-00;Hobița;Paris
41;Georges;Braque;\N;M;FR;1882-00-00;1963-00-00;Argenteuil;Paris
42;Horace;Brodzky;\N;M;AU;1885-00-00;1969-00-00;Melbourne;London
43;Petr Ignat'evič;Bromirskij;\N;M;RU;1884-00-00;1919-00-00;\N;\N
44;Patrick Henry;Bruce;\N;M;US;1881-00-00;1936-00-00;Campbell;New York
45;Hans;Brühlmann;\N;M;CH;1878-00-00;1911-00-00;Amriswill;Stuttgart
