id;id_exhibition;id_publication
229;3;252
222;4;241
532;5;570
1093;6;1164
125;7;141
9;8;16
228;9;251
437;10;467
232;11;255
565;12;604
584;13;625
209;14;228
156;15;175
732;16;775
3;17;10
32;18;39
353;19;379
542;20;580
1049;22;1120
998;24;1071
59;25;75
723;26;766
707;27;750
227;28;250
822;29;867
339;30;365
541;31;579
86;32;102
8;34;15
1051;35;1122
158;36;177
11;37;18
561;38;600
757;39;800
159;40;178
35;41;47
242;42;266
151;43;169
449;46;479
62;47;78
210;48;229
764;49;808
1000;50;1073
1099;51;1170
49;52;64
344;53;370
61;54;77
178;55;197
367;57;393
929;58;986
83;60;99
482;62;515
12;63;19
47;65;62
999;67;1072
342;68;368
60;69;76
370;70;396
10;71;17
544;72;582
944;73;1001
119;74;135
488;75;522
557;76;596
345;77;371
1001;79;1074
162;80;181
122;81;138
123;81;139
391;82;418
392;82;419
6;83;13
1005;84;1078
576;85;615
1006;86;1079
92;87;108
920;88;977
90;89;106
471;90;503
42;91;57
615;92;657
16;93;23
13;94;20
5;96;12
330;97;356
77;98;93
155;99;174
456;101;487
783;102;827
775;103;819
1004;104;1077
63;105;79
1084;106;1155
579;108;618
570;109;609
575;110;614
618;111;660
823;113;868
466;115;498
363;116;389
1077;116;1125
1065;117;1139
15;118;22
55;119;71
54;120;70
89;121;105
784;122;828
14;123;21
124;125;140
315;126;341
587;127;628
132;128;148
133;128;149
56;130;72
1010;131;1084
69;132;85
307;133;333
617;134;659
1007;135;1080
91;136;107
620;137;662
619;138;661
742;139;785
743;139;786
207;140;226
928;141;985
26;142;33
24;143;31
235;146;258
39;147;54
910;148;962
1012;149;1086
38;150;53
610;151;652
4;154;11
432;155;462
237;156;260
1085;161;1156
211;162;230
101;163;117
179;164;198
786;165;830
277;166;302
167;168;186
180;170;199
208;172;227
622;173;664
917;174;971
785;176;829
48;178;63
952;179;1011
1011;180;1085
25;182;32
613;184;655
257;185;281
434;186;464
598;189;639
1016;190;1090
223;192;243
346;193;372
233;194;256
160;195;179
1040;196;1114
245;197;269
318;198;344
368;199;394
259;200;283
828;203;873
623;204;665
64;205;80
37;206;52
572;207;611
656;209;698
17;210;24
33;211;40
65;213;81
888;215;939
329;216;355
121;217;137
1059;218;1132
831;220;876
1027;222;1101
811;223;855
1086;224;1157
421;225;449
94;226;110
27;227;34
951;228;1010
479;230;512
1003;233;1076
665;234;707
916;235;970
934;236;991
827;238;872
468;239;500
36;240;48
58;242;74
260;243;284
1028;244;1102
866;245;914
960;246;1022
52;247;68
255;252;279
247;253;271
624;256;666
621;257;663
880;258;930
234;259;257
625;262;667
1094;263;1165
265;264;289
321;265;347
105;266;121
138;267;155
139;267;156
867;268;915
535;269;573
919;270;976
291;271;317
1024;273;1098
266;274;290
261;275;285
806;277;850
18;280;25
877;281;926
21;282;28
22;282;29
629;283;671
1026;284;1100
1037;286;1111
810;287;854
1033;288;1107
140;291;157
626;292;668
67;294;83
320;295;346
1087;296;1158
947;299;1004
303;300;329
678;301;721
29;302;36
316;303;342
745;305;788
834;306;879
115;307;131
519;308;556
970;309;1034
28;310;35
964;311;1027
528;312;565
43;313;58
961;314;1023
921;315;978
34;316;44
1029;318;1103
102;319;118
427;320;456
30;321;37
352;322;378
71;323;87
20;324;27
940;325;997
153;327;172
305;328;331
106;329;122
254;331;278
272;332;297
269;333;293
141;335;158
73;337;89
677;338;720
68;341;84
441;343;471
552;344;590
166;346;185
88;347;104
734;348;777
244;349;268
240;350;263
161;351;180
780;352;824
1025;354;1099
23;355;30
631;356;673
773;359;817
1088;360;1159
918;361;975
168;363;187
80;365;96
869;366;917
465;367;497
562;368;601
932;369;989
933;369;990
782;370;826
768;371;812
913;372;965
632;373;674
824;374;869
81;375;97
583;376;624
1044;377;1118
771;378;815
781;379;825
1048;380;1119
912;381;964
445;382;475
41;384;56
82;385;98
375;387;401
486;388;520
608;389;650
760;390;803
868;391;916
767;392;811
143;393;161
748;394;791
774;395;818
447;397;477
564;398;603
962;399;1024
963;400;1025
1042;401;1116
324;402;350
325;402;351
766;403;810
1091;404;1162
796;405;840
239;406;262
896;407;947
712;409;755
529;410;567
327;411;353
607;412;649
809;413;853
152;414;171
450;415;480
145;416;163
214;417;233
870;418;918
322;419;348
334;420;360
878;422;927
935;424;992
337;425;363
343;426;369
737;429;780
554;430;592
150;431;168
987;432;1059
733;433;776
923;434;980
262;438;286
253;440;277
555;441;594
453;442;483
832;443;877
215;444;234
967;445;1030
243;446;267
1092;447;1163
711;449;754
709;450;752
936;451;993
805;452;849
1066;453;1140
1089;454;1160
340;455;366
341;455;367
183;456;202
1036;458;1110
726;459;769
736;461;779
2;462;2
1035;463;1109
911;464;963
1039;465;1113
710;467;753
825;468;870
835;470;880
885;472;936
902;473;954
946;478;1003
137;481;153
884;482;935
181;483;200
735;484;778
879;485;929
224;486;244
280;487;306
477;489;510
40;490;55
762;491;806
924;492;981
566;493;605
586;494;627
184;495;203
927;497;984
333;498;359
568;499;607
336;500;362
797;503;841
523;505;560
826;507;871
1021;509;1095
1023;511;1097
164;512;183
282;513;308
549;514;587
398;515;425
898;516;950
886;517;937
284;518;310
182;519;201
216;521;235
212;522;231
273;523;298
646;524;688
349;527;375
873;528;921
968;530;1031
1009;531;1083
217;532;236
350;533;376
98;534;114
186;535;205
246;536;270
634;537;676
218;538;237
941;539;998
135;540;151
504;541;542
1064;542;1138
323;543;349
328;544;354
286;545;312
136;546;152
171;547;190
901;549;953
188;550;207
956;551;1015
249;553;273
248;554;272
1019;555;1093
480;556;513
635;557;677
165;558;184
252;559;276
236;560;259
594;561;635
351;562;377
1034;563;1108
1090;565;1161
591;566;632
268;567;292
173;569;192
900;570;952
256;573;280
931;574;988
592;575;633
1020;576;1094
189;577;208
660;578;702
290;579;316
668;580;710
812;581;856
903;582;955
938;584;995
899;585;951
264;586;288
190;588;209
636;589;678
241;590;265
191;591;210
397;592;424
192;593;211
146;595;164
905;596;957
