id;type;title;subtitle;author;publication_date;publisher_id;place;editor
1;book;Kandinsky Werkverzeichnis der Aquarelle;Erster Band;Vivian Endicott Barnett;1992-00-00;\N;\N;\N
2;book;Internationale Kunstausstellung des Sonderbundes Westdeutscher Kunstfreunde und Künstler;Zu Cöln 1912. Illustr. Katalog;\N;1912-00-00;1;Cologne;\N
3;book;Kandinsky Werkverzeichnis der Ölgemälde;Band I, 1900-1915;Roethel, Hans Konrad\; Benjamin, Jean K.;1982-00-00;2;Munich;\N
4;book;Kazimir Malewicz;Catalogue raisonné;Nakov, Andréi;2002-00-00;3;Paris;Emmanuelle Laudon
5;book;Piet Mondrian Catalogue Raisonné, Vol. I;\N;Welsh, Robert P.;1998-00-00;4;\N;\N
6;book;Piet Mondrian Catalogue Raisonné, Vol. II-III;Catalogue Raisonné of the Work of 1911-1944;Joosten, Joop M.;1998-00-00;4;\N;\N
7;book;Fernand Léger Catalogue raisonné 1903-1919;Le catalogue raisonné de l'oeuvre peint;Bauquier, Georges;1990-00-00;5;\N;\N
8;book;Francis Picabia Catalogue Raisonné Volume I, 1898-1914;\N;Camfield, William A.\; Calté, Beverly\; Clemens, Candace\; Pierre, Arnauld;2014-00-00;6;Brussels;\N
9;book;Giacomo Balla;Torino 1871 - Roma 1958;Lista, Giovanni;1982-00-00;7;\N;\N
10;book;Országos Magy. Képzőművészeti Társulat. Tavaszi nemzetközi kiállítás 1905;\N;\N;1905-00-00;73;Budapest;\N
11;book;Katalog der Fünfzehnten Ausstellung der Berliner Secession;\N;\N;1908-00-00;8;\N;\N
12;book;Katalog der Dreizehnten Ausstellung der Berliner Secession;\N;\N;1907-00-00;9;Berlin;\N
13;book;XXVIII. Ausstellung der Vereinigung Bildender Künstler Österreichs Secession. Münchner Secession;\N;\N;1907-00-00;\N;\N;\N
14;book;Exposition Luce;\N;\N;1907-00-00;\N;Paris;\N
15;book;XXIV. Ausstellung der Vereinigung Bildender Künstler Österreichs Secession;\N;\N;1905-00-00;\N;\N;\N
16;book;Première exposition d'Ensemble d'Intimistes (Peintres d'Intérieurs);\N;\N;1905-00-00;\N;Paris;\N
17;book;XXVII. Ausstellung der Vereinigung Bildender Künstler Österreichs Secession;\N;\N;1906-00-00;\N;\N;\N
18;book;Vincent Van Gogh. Kollektiv-Ausstellung;\N;\N;1906-00-00;\N;Vienna;\N
19;book;Internationale Kunst-Ausstellung des Vereins bildender Künstler Münchens (E.V.) "Secession";im kgl. Kunstausstellungsgebäude am Königsplatz;\N;1906-00-00;10;Munich;\N
20;book;Tableaux, Aquarelles & Pastels composant la vente Odilon Redon;\N;\N;1907-00-00;\N;Paris;\N
21;book;Salon des Beaux-Arts d'Ostende;\N;\N;1907-00-00;\N;Brussels;\N
22;book;Offizieller Katalog der Internationalen Kunst-Ausstellung des Vereins bildender Künstler Münchens (e.V.) "Secession" 1907;\N;\N;1907-00-00;10;Munich;\N
23;book;La Libre Esthétique. Quatorzième Exposition;\N;\N;1907-00-00;11;Brussels;\N
24;book;La Libre Esthétique. Seizième Exposition;\N;\N;1909-00-00;11;Brussels;\N
25;book;Katalog der Zwanzigsten Ausstellung der Berliner Secession;\N;\N;1910-00-00;9;Berlin;\N
26;book;Collection de M. Herbert Kullmann (de Manchester);Treize tableaux de Bonnard, Cézanne, Cross, Degas, Van Gogh, Henri Matisse, Renoir, Henri Rousseau, etc.;\N;1914-00-00;\N;Paris;\N
27;book;Manet and the Post-Impressionists;\N;\N;1910-00-00;13;\N;\N
28;book;De Unga [2];\N;\N;1910-00-00;\N;\N;\N
29;book;De Unga. Katalog;\N;\N;1910-00-00;\N;Stockholm;\N
30;book;De Unga;\N;\N;1911-00-00;14;Stockholm;\N
31;book;Quelques oeuvres de Vincent van Gogh;\N;\N;1908-00-00;\N;Paris;\N
32;book;Exposition Georges Braque;\N;\N;1908-00-00;15;\N;\N
33;book;Cent Tableaux de Vincent van Gogh;\N;\N;1908-00-00;\N;Paris;\N
34;book;Exhbition of Paintings in Oil by Mr. Marsden Hartley, of Maine;\N;\N;1909-00-00;\N;New York;\N
35;book;Les Indépendants. Cercle d'Art. VIIe Salon annuel;\N;\N;1910-00-00;\N;Brussels;\N
36;book;Internationale Kunstausstellung der Münchener Secession;Kgl. Kunstausstellungsgebäude am Königsplatz, 18. Mai - 31. Oktober 1910;\N;1910-00-00;10;Munich;\N
37;book;XXXVII. Ausstellung der Vereinigung Bildender Künstler Österreichs Secession. I. Ausstellung der Vereinigung Bildender Künstlerinnen Österreichs. Die Kunst der Frau;\N;\N;1910-00-00;16;Vienna;\N
38;book;Kaiser-Huldigungs-Ausstellung Hagenbund-Manes-Sztuka;\N;\N;1908-00-00;17;Vienna;\N
39;book;21e Exposition de la Société des Artistes Indépendants;Exposition Retrospective Georges Seurat, Exposition Retrospective Vincent Van Gogh;\N;1905-00-00;\N;\N;\N
40;book;Katalog der Achtzehnten Ausstellung der Berliner Secession;\N;\N;1909-00-00;8;Berlin;\N
41;book;Schwedische Künstler;Hagenbund. Herbst 1910;Künstlerbundes Hagen in Wien;1910-00-00;17;\N;\N
42;book;Exhibition of Paintings;by Arthus B. Davies, William J. Glackens, Robert Henri, Ernest Lawson, George Luks, Maurice B. Prendergast, Everett Shinn, John Sloan;\N;1908-00-00;19;\N;\N
43;book;Kaiser-Huldigungs-Ausstellung;Hagenbund-Manes-Sztura;\N;1908-00-00;\N;\N;\N
44;book;Ausstellung französischer Kunst des 18., 19. und 20. Jahrhunderts;\N;\N;1910-00-00;20;Leipzig;\N
45;book;Schwedische Künstler;Gagenbund Herbst;Verlag des Künstlerbundes Hagen in Wien;1910-00-00;\N;\N;\N
46;book;Constantin Meunier 'Hagenbund';Zwanzigste Austellung;\N;1906-00-00;17;\N;\N
47;book;Kollektiv-Ausstellungen Eugen Spiro und Alfred Kubin;\N;\N;1906-00-00;\N;Vienna;\N
48;book;Henri de Toulouse-Lautrec (1864-1901);\N;\N;1909-00-00;\N;Vienna;\N
49;book;Van Gogh. Gauguin.;\N;Kunstsalon W. Zimmermann;1908-00-00;21;\N;\N
50;book;Otto M. Miethke-Gutenegg. Architekt Hans Ofner Kollektivausstelung;\N;\N;1908-00-00;21;\N;\N
51;book;Exhibition of Paintings and Drawings by Max Weber;\N;\N;1909-00-00;22;\N;\N
52;book;Exhibition of Paintings and Drawings by Max Weber;\N;\N;1909-00-00;22;\N;\N
53;book;Van Gogh. Gauguin;\N;\N;1908-00-00;21;\N;\N
54;book;Exhibition of Paintings;By Arthur B. Davies, William J. Glackens, Robert Henri, Ernest Lawson, George Luks, Maurice B. Predergast, Everett Shinn, John Sloan;\N;1908-00-00;19;\N;\N
55;book;Moderne Kunst Kring (Cercle de l'art Moderne). Catalogue des Ouvrages de Peinture, Sculpture, Dessin, Gravure;\N;\N;1912-00-00;\N;Amsterdam;\N
56;book;Catalogus van de Internationale Tentoonstelling van Moderne Kunst. Moderne Kunst Kring;\N;\N;1911-00-00;23;\N;\N
57;book;[Paul Gauguin et al.];\N;\N;1907-00-00;24;Vienna;\N
58;book;Utställnig af Utländsk Modern Grafisk Konst;\N;\N;1910-00-00;\N;\N;\N
59;book;Cercle Vrije Kunst. VIIe Exposition Annuelle;\N;\N;1905-00-00;26;Brussels;\N
60;book;Tableaux, aquarelles, dessins, gravures, eaux-fortes par F. Picabia;\N;\N;1909-00-00;27;Levallois-Perret;\N
61;book;Munich Fine Art Exhibition;\N;\N;1906-00-00;29;\N;\N
62;book;Katalog der dritten Ausstellung des Deutschen Künstlerbundes;\N;\N;1906-00-00;74;Weimar;\N
63;book;Ausstellung Belgischer Kunst unter dem Protektorate der Belgischen Regierung veranstaltet durch die Gesellschaften Art Contemporain, Antwerpen, und Société Royale des Beaux-Arts, Brüssel;\N;\N;1908-00-00;28;\N;\N
64;book;Katalog der Elften Ausstellung der Berliner Secession;\N;\N;1906-00-00;9;Berlin;\N
65;book;Offizieller Katalog der Frühjahr-Ausstellung des Vereins bildender Künstler Münchens "Secession" 1907;\N;\N;1907-00-00;30;Munich;\N
66;book;Katalog der Herbst-Ausstellung 1910-1911;\N;\N;1910-00-00;17;Vienna;\N
67;book;Boccioni;L'opera completa;Calvesi, Maurizio\; Coen, Ester;1983-00-00;31;\N;\N
68;book;Exposition Edvard Diriks / Ile-de-France - Iles Lofoden - Fjord de Christiania;\N;\N;1909-00-00;\N;\N;\N
69;book;Exposition de peintures de Augustin Carrera;\N;\N;1910-00-00;\N;Paris;\N
70;book;Les Aquarelles de Cézanne;\N;\N;1907-00-00;\N;\N;\N
71;book;Exposition des Oeuvres (Peinture et Sculpture) de MM. Bonnard, Maurice Denis, Hermann-Paul, Lacombe, Aristide Maillol, Ranson, K-X. Roussel, Sérusier, Vallotton et Vuillard;\N;\N;1907-00-00;33;\N;\N
72;book;Exposition de sculptures nouvelles par Camille Claudel et de peintures par Manguin, Marquet, Puy;\N;\N;1907-00-00;\N;\N;\N
73;book;Exposition Camille Pissarro;\N;\N;1907-00-00;\N;\N;\N
74;book;Exposition Vuillard;\N;\N;1909-00-00;33;\N;\N
75;book;Exposition de Peintures, Pastels par MM. Bouche (Georges), Dufrénoy, Fornerod, Friesz (Othon), Minartz, Ranson;\N;\N;1905-00-00;\N;Paris;\N
76;book;Exposition K.-X. Roussel;\N;\N;1906-00-00;33;\N;\N
77;book;Exposition d'Œuvres de René Seyssaud;\N;\N;1906-00-00;\N;Paris;\N
78;book;Exposition Odilon Redon;\N;\N;1906-00-00;\N;\N;\N
79;book;Pierre Laprade: Exposition de ses peintures;\N;\N;1907-00-00;\N;Paris;\N
80;book;Exposition Bonnard (Oeuvres récentes);(Œuvres récentes);\N;1909-00-00;33;Paris;\N
81;book;Exposition de 32 Tableaux de G. Courbet;\N;\N;1909-00-00;33;Paris;\N
82;book;Exposition Armand Guillaumin;\N;\N;1909-00-00;32;Paris;\N
83;book;Exposition Seyssaud;\N;\N;1910-00-00;33;Paris;\N
84;book;Exposition Vuillard;\N;\N;1911-00-00;\N;Paris;\N
85;book;Fleurs et Natures Mortes;\N;\N;1907-00-00;33;Paris;\N
86;book;Exposition Louis Charlot;\N;\N;1910-00-00;34;Paris;\N
87;book;Exposition de Peintures de André Lhote;\N;\N;1910-00-00;32;Paris;\N
88;book;Exposition des "Onze";\N;\N;1908-00-00;\N;Paris;\N
89;book;"Les Ponts de Paris" nouvelle série d'aquarelles de Paul Signac;Les Tapisseries d'Aristide Maillol;\N;1911-00-00;\N;Paris;\N
90;book;Œuvres de Manzana-Pissarro;\N;\N;1908-00-00;37;Paris;\N
91;book;Exposition de Peinture de Jean Puy;\N;\N;1911-00-00;\N;\N;\N
92;book;Exposition d'Aquarelles de Maurice Asselin;\N;\N;1911-00-00;\N;\N;\N
93;book;Exposition René Seyssaud;\N;\N;1907-00-00;\N;\N;\N
94;book;Exposition de dessins, aquarelles et lithographies de H. Daumier;\N;\N;1907-00-00;38;Paris;\N
95;book;Exposition Annuelle, 2ème Groupe, MM. Paul Baignières, George Desvallières, Maxime Dethomas, Georges Dufrénoy, Jules Flandrin, Charles Guérin, Albert Marque, Mme. Marval, Georges Rouault;Invités Mlle. Albertine Bernouard, Mr. Luc Albert Moreau;\N;1914-00-00;\N;Paris;\N
96;book;Exposition des oeuvres récentes (1910 & 1911) de Bonnard / Panneaux décoratifs et tableaux;\N;\N;1911-00-00;\N;\N;\N
97;book;L'Eau;\N;\N;1911-00-00;\N;\N;\N
98;book;René Seyssaud / Bretagne - Provence, Figures et Natures mortes;\N;\N;1911-00-00;\N;\N;\N
99;book;Exposition Félix Vallotton;\N;\N;1906-00-00;\N;Paris;\N
100;book;Exposition de peintures de Émilie Charmy;\N;\N;1911-00-00;\N;\N;\N
101;book;Exposition de peintures & d'aquarelles de Henri Edmond Cross & Paul Signac;\N;\N;1911-00-00;\N;Paris;\N
102;book;Kees van Dongen;\N;\N;1905-00-00;\N;Paris;\N
103;book;Exposition des dessins & pastels de Pierre Prins;\N;\N;1907-00-00;\N;Paris;\N
104;book;Exposition Annuelle, 2e Groupe, MM. Paul Baignières, Georges Desvallières, Maxime Dethomas, Georges Dufrénoy, Jules Flandrin, Charles Guérin, Albert Marque, Madame Marval, René Piot, Georges Rouault. Invités: MM. G.-L. Jaulmes, Charles Lacoste;\N;\N;1911-00-00;32;\N;\N
105;book;Les Dessins de Rodin;\N;\N;1907-00-00;\N;Paris;\N
106;book;Exposition Albert Marquet;\N;\N;1907-00-00;\N;\N;\N
107;book;Portraits d'Hommes;\N;\N;1907-00-00;\N;\N;\N
108;book;Exposition F. Picabia;Catalogue Illustré;\N;1907-00-00;\N;Paris;\N
109;book;Exposition de Peintures de Joseph Trévoux;\N;\N;1911-00-00;\N;\N;\N
110;book;Aquarelles & Pastels de Cézanne, H.-E. Cross, Degas, Jongkind, Camille Pissarro, K.-X. Roussel, Paul Signac, Vuillard;\N;\N;1909-00-00;\N;\N;\N
111;book;Exposition de Peintures de Louis Valtat;\N;\N;1912-00-00;\N;\N;\N
112;book;Exposition de Peintures de Pierre Brune;\N;\N;1913-00-00;\N;\N;\N
113;book;Opening Exhibition, Season 1914-1915;\N;\N;1914-00-00;\N;\N;\N
114;book;International Exhibition of Modern art [Armory Show];\N;\N;1913-00-00;39;New York;\N
115;book;Exposition de la Société Coloniale des Artistes Français;\N;\N;1909-00-00;\N;Paris;\N
116;book;Exposition de Dessins rehaussés par Gaston Hochard;\N;\N;1909-00-00;\N;Paris;\N
117;book;Katalog der Kunstschau Wien;\N;\N;1908-00-00;\N;\N;\N
118;book;Exposition Henri-Edmond Cross;\N;\N;1910-00-00;\N;\N;\N
119;book;D'après les maîtres;\N;\N;1910-00-00;\N;Paris;\N
120;book;Exposition G. Agutte;\N;\N;1910-00-00;40;Paris;\N
121;book;Exposition de Peintures et de Lithographies Originales de H. de Toulouse-Lautrec. 1864-1901;\N;\N;1910-00-00;\N;\N;\N
122;book;La Faune;\N;\N;1910-00-00;\N;Paris;\N
123;book;Exposition Louise Hervieu;\N;\N;1910-00-00;41;Paris;\N
124;book;Exposition T. E. Butler;\N;\N;1910-00-00;33;Paris;\N
125;book;Exposition de peintures de H. Ottmann;\N;\N;1910-00-00;34;Paris;\N
126;book;Exposition de peintures de Charles Guérin;\N;\N;1910-00-00;32;Paris;\N
127;book;L'Œuvre gravée de Richard Ranft;\N;\N;1910-00-00;\N;Paris;\N
128;book;Exposition de peintures de Jules Flandrin;\N;\N;1910-00-00;\N;Paris;\N
129;book;Tableaux Aquarelles, Dessins de Maxime Maufra;\N;\N;1910-00-00;40;Paris;\N
130;book;Exposition de Peintures, Aquarelles, Dessins, Gravures de Paul Renouard;\N;\N;1910-00-00;\N;\N;\N
131;book;Les Artistes Russes, Décors et Costumes de théâtre et Tableaux;\N;\N;1910-00-00;\N;Paris;\N
132;book;Société des Peintres du Paris Moderne. Catalogue de la Troisième Exposition;\N;\N;1905-00-00;\N;Paris;\N
133;book;Exposition Henri Farge;\N;\N;1912-00-00;44;Paris;\N
134;book;Peintures de Paul De Castro, Francis Jourdain, Henri Morisset, Gaston Prunier, Alexandre Urbain. Dessins & eaux-fortes de Bernard Naudin. Bonshommes en bois tourné de Fernand Landolt;\N;\N;1907-00-00;\N;\N;\N
135;book;Russische Kunstausstellung 1906;\N;\N;1906-00-00;45;\N;\N
136;book;Exposition de Peintures de Henry Hayden;\N;\N;1912-00-00;44;Paris;\N
137;book;S. V. U. Manes. XXIX. výstava. (Členská);\N;\N;1909-00-00;46;Prague;\N
138;book;Výstava 8 Kunst-Ausstellung löschen;\N;\N;1907-00-00;\N;\N;\N
139;book;Výstava 8 Kunst-Ausstellung;\N;\N;1907-00-00;\N;Prague;\N
140;book;Salon des Peintres Divisionnistes Italiens organisé par la Galerie d'Art A. Grubicy, de Milan;\N;\N;1907-00-00;47;Paris;\N
141;book;Edvard Munch. XV. výstava Spolku výtvarn. umělců »Manes« v Praze;\N;\N;1905-00-00;46;Prague;\N
142;book;Exposition de Peintures de Charles Montag;\N;\N;1914-00-00;\N;\N;\N
143;book;Exposition de Peintures de Charles Camoin;\N;\N;1914-00-00;\N;\N;\N
144;book;Pierre Laprade vous prie de visiter l'Exposition de ses Peintures;\N;\N;1914-00-00;\N;\N;\N
