id,id_exhibition,id_location,role,ord
16,899,27,0,0
18,901,27,0,0
21,902,27,0,0
31,911,27,0,0
33,913,27,0,0
36,915,27,0,0
38,920,27,0,0
47,1011,190,0,0
55,929,27,0,0
57,930,27,0,0
98,343,27,0,0
100,932,27,0,0
112,397,27,0,0
114,937,27,0,0
117,415,27,0,0
119,938,27,0,0
139,1026,27,0,0
148,1004,27,0,0
150,1029,272,0,0
189,1034,278,0,0
326,946,27,0,0
436,1075,159,0,0
452,1007,89,0,0
455,1065,5,0,0
463,541,124,0,0
466,1067,64,0,0
476,1052,64,0,0
509,505,124,0,0
515,10,273,0,0
523,1043,64,0,0
535,46,273,0,0
539,1028,55,0,0
541,1022,18,0,0
544,1038,278,0,0
553,728,18,0,0
557,1044,64,0,0
569,172,53,0,0
573,147,49,0,0
576,62,173,0,0
578,388,265,0,0
579,1061,286,0,0
616,75,265,0,0
627,115,277,0,0
628,1054,278,0,0
629,186,265,0,0
679,1087,64,0,0
696,344,89,0,0
741,1094,89,0,0
791,1100,23,0,0
801,1096,64,0,0
803,1102,64,0,0
836,1085,5,0,0
838,20,5,0,0
847,31,5,0,0
854,5,5,0,0
858,13,5,0,0
862,1080,9,0,0
869,493,265,0,0
871,514,107,0,0
876,654,273,0,0
878,1101,114,0,0
882,630,30,0,0
887,499,30,0,0
890,696,171,0,0
894,1076,164,0,0
896,697,164,0,0
899,694,30,0,0
915,239,72,0,0
916,627,124,0,0
919,628,153,0,0
924,711,124,0,0
932,38,5,0,0
934,76,5,0,0
954,686,39,0,0
955,686,30,0,1
959,1091,241,0,0
967,72,30,0,0
971,1086,28,0,0
974,1089,28,0,0
975,1090,28,0,0
977,376,288,0,0
979,110,5,0,0
983,85,5,0,0
985,1098,5,0,0
991,108,30,0,0
1006,991,108,0,0
1010,1010,18,0,0
1013,101,18,0,0
1018,1008,89,0,0
1035,8,7,0,0
1036,9,8,0,0
1037,19,272,0,0
1039,25,5,0,0
1042,32,19,0,0
1043,33,20,0,0
1047,47,28,0,0
1049,52,265,0,0
1050,60,30,0,0
1051,61,30,0,0
1052,64,272,0,0
1053,65,266,0,0
1054,69,30,0,0
1055,70,272,0,0
1059,82,27,0,0
1064,94,39,0,0
1070,105,19,0,0
1073,119,30,0,0
1074,120,30,0,0
1075,121,30,0,0
1079,130,46,0,0
1081,132,30,0,0
1082,133,265,0,0
1084,136,30,0,0
1085,142,30,0,0
1086,143,19,0,0
1089,152,30,0,0
1090,154,265,0,0
1091,160,30,0,0
1099,181,19,0,0
1100,182,55,0,0
1101,183,30,0,0
1103,185,30,0,0
1104,187,56,0,0
1110,199,59,0,0
1111,200,19,0,0
1115,205,30,0,0
1116,206,61,0,0
1119,213,30,0,0
1122,226,30,0,0
1124,232,68,0,0
1130,242,30,0,0
1131,243,19,0,0
1134,247,19,0,0
1135,261,78,0,0
1137,264,30,0,0
1138,265,19,0,0
1141,275,30,0,0
1142,278,81,0,0
1148,294,30,0,0
1149,295,19,0,0
1151,300,19,0,0
1153,303,19,0,0
1156,307,30,0,0
1161,319,30,0,0
1163,323,19,0,0
1164,324,87,0,0
1165,328,19,0,0
1166,329,30,0,0
1168,337,30,0,0
1172,349,265,0,0
1177,365,30,0,0
1180,375,30,0,0
1184,385,30,0,0
1185,386,27,0,0
1190,402,30,0,0
1195,420,19,0,0
1198,425,19,0,0
1203,438,265,0,0
1204,442,27,0,0
1211,455,19,0,0
1212,457,27,0,0
1217,466,221,0,0
1222,479,85,0,0
1231,498,19,0,0
1232,500,19,0,0
1233,501,123,0,0
1235,510,85,0,0
1237,513,27,0,0
1242,525,27,0,0
1243,527,30,0,0
1245,529,107,0,0
1247,533,19,0,0
1251,545,27,0,0
1252,546,273,0,0
1268,579,27,0,0
1272,590,141,0,0
1275,594,107,0,0
1276,595,143,0,0
1278,598,86,0,0
1279,599,168,0,0
1283,603,107,0,0
1284,604,27,0,0
1296,646,157,0,0
1297,647,19,0,0
1298,648,19,0,0
1301,658,19,0,0
1302,659,161,0,0
1303,660,162,0,0
1308,668,107,0,0
1310,670,19,0,0
1311,674,27,0,0
1318,698,27,0,0
1319,699,103,0,0
1320,700,161,0,0
1322,702,164,0,0
1324,705,157,0,0
1328,724,176,0,0
1330,731,157,0,0
1348,795,87,0,0
1355,811,19,0,0
1356,812,19,0,0
1359,837,219,0,0
1360,863,46,0,0
1361,864,28,0,0
1363,866,46,0,0
1364,868,241,0,0
1365,882,27,0,0
1366,883,27,0,0
1367,884,27,0,0
1368,885,27,0,0
1370,891,27,0,0
1371,892,27,0,0
1373,895,27,0,0
1374,896,27,0,0
1376,903,27,0,0
1377,906,27,0,0
1378,907,27,0,0
