id;catalogueId;type;title;technique;measurements;creatordate;displaydate;style
1;352;3;Kahnfahrt;Oil on canvas;98 x 105 cm;1910;\N;48
2;373;3;Impression II (Moskau);Oil on canvas;120 x 140 cm;1911;\N;48
3;396;3;Improvisation 22;Oil on canvas;120 x 140 cm;1911;\N;\N
4;399;3;Improvisation 21A;Oil on canvas;96 x 105 cm;1911;\N;48
5;27;3;Binz auf Rügen (Dühne);Oil on canvasboard;32.2 x 23.3 cm;1901;\N;\N
6;30;3;Achtyrka - Park;Oil on cardboard;24 x 33 cm;1901;\N;14
7;36;3;Helle Luft;Oil and tempera on canvas;34 x 52 cm;1902;\N;46
8;37;3;Alte Stadt I;Oil on canvas (?);35 x 60 cm;1902;\N;46
9;42;3;Marktplatz;Oil on canvas;85 x 115 cm;1902;\N;47
10;43;3;Mädchen am Ufer;Oil (support unknown);83 x 115 cm;1902;\N;47
11;44;3;Schleuse;Oil on canvas;78 x 51 cm;1902;\N;46
12;45;3;Frühling - Umgebung von Augsburg;Oil on cardboard;24 x 33 cm;1902;\N;47
13;82;3;Der Blaue Reiter;Oil on canvas;55 x 65 cm;1903;\N;46
14;107;3;Spaziergang (Skizze);Oil on canvas;50.3 x 69.5 cm;1901;\N;47
15;115;22;Spazierende Gesellschaft I;Mixed media on canvas;52 x 79 cm;1904;\N;47
16;118;3;Sonntag (Altrussisch);Oil on canvas;45 x 95 cm;1904;\N;46
17;145;3;Rapallo - Boote;Oil on canvasboard;24 x 33 cm;1905;\N;46
18;174;3;Troikas;Oil on canvas;97 x 125 cm;1906;\N;\N
19;181;3;Mit Gelber Wolke;Oil on canvas;34 x 52 cm;1907-1908;\N;\N
20;182;3;Mit Roten Wolken;Oil on canvas (?);110 x 110 cm;1907-1908;\N;47
21;189;3;Weisser Klang;Oil on cardboard;70 x 70 cm;1908;\N;48
22;207;3;Murnau - Strasse mit Frauen;Oil on cardboard;71 x 97 cm;1908;\N;47
23;220;3;Murnau - Landschaft mit Turm;Oil on cardboard;75.5 x 99.5 cm;1909;\N;48
24;224;3;Kirche in Froschhausen;Oil on cardboard;45 x 33 cm;1908;\N;47
25;225;3;Riegsee - Dorfkirche;Oil on cardboard;33 x 45 cm;1908;\N;47
26;234;3;Murnau - Studie für Landschaft mit Baumstamm;Oil on cardboard;32.5 x 44.2 cm;1908;\N;47
27;240;3;Schloss am Staffelsee;Oil (support unknown);unknown;1908;\N;\N
28;247;3;Herbstimpression;Oil on cardboard;35 x 45 cm;1908;\N;47
29;252;3;Murnau - Kohlgruberstrasse;Oil on cardboard;71.5 x 97.5 cm;1908;\N;48
30;257;3;Winterstudie mit Berg;Oil on cardboard;33 x 45 cm;1908;\N;47
31;262;3;Winterlandschaft I;Oil on cardboard;71.5 x 97.5 cm;1909;\N;47
32;263;3;Reifröcke;Oil on canvas;95 x 128.5 cm;1909;\N;48
33;264;3;Kuppeln;Oil on cardboard (?);85 x 116 cm;1909;\N;48
34;265;3;Murnau - Landschaft mit Baumstamm;Oil on cardboard;71.5 x 97.5 cm;1909;\N;47
35;266;3;Interieur (Mein Esszimmer);Oil on cardboard;50 x 65 cm;1909;\N;47
36;267;3;Gelber Felsen;Oil on canvas (?);130 x 120 cm;1909;\N;48
37;268;3;Bild mit Kahn;Oil on cardboard;79 x 123 cm;1909;\N;48
38;269;3;Bild mit Häusern;Oil on canvas;97 x 131 cm;1909;\N;48
39;270;3;Bild mit Bogenschützen;Oil on canvas;177 x 147 cm;1909;\N;48
40;274;3;Improvisation 2 (Trauermarsch);Oil on canvas;94 x 130 cm;1908;\N;48
41;276;3;Improvisation 3;Oil on canvas;94 x 130 cm;1909;\N;48
42;277;3;Murnau - Landschaft mit Grünem Haus;Oil on cardboard;69 x 94 cm;1909;\N;48
43;279;3;Murnau - Landschaft mit Kirche I;Oil on cardboard;70 x 96 cm;1909;\N;47
44;280;3;Skizze (Reiter);Oil on canvas;67 x 100 cm;1909;\N;48
45;282;3;Improvisation 4;Oil on canvas (?);107 x 159 cm;1909;\N;49
46;283;3;Araber I (Friedhof);Oil on cardboard;71.5 x 98 cm;1909;\N;48
47;284;3;Murnau - Landschaft mit Kirche II;Oil on canvas (?);70 x 50 cm;1909;\N;47
48;287;3;Improvisation 6;Oil on canvas;107 x 99.5 cm;1909;\N;48
49;288;3;Studie für Improvisation 8;Oil on cardboard, now mounted on canvas;98 x 70 cm;1909;\N;48
50;289;3;Improvisation 8;Oil on canvas;125 x 73 cm;1909;\N;48
51;323;3;Treppe zum Schloss;Oil (support unknown);Unknown;\N;\N;48
52;324;3;Murnau - Bäume im Schnee;Oil on cardboard;32 x 44 cm;\N;\N;14
53;325;3;Fragment zu Komposition II;Oil on cardboard;58 x 48 cm;1910;\N;48
54;327;3;Komposition I;Oil on canvas;120 x 140 cm;1910;\N;48
55;330;3;Improvisation 5 - Variation I;Oil on canvas;107 x 95 cm;1910;\N;\N
56;331;3;Improvisation 5 - Variation II;Oil on canvas (?);130 x 110 cm;1910;\N;\N
57;332;3;Studie für Improvisation 7;Oil on cardboard;69 x 48 cm;1910;\N;49
58;333;3;Improvisation 7;Oil on canvas;131 x 97 cm;1910;\N;49
59;334;3;Komposition II;Oil on canvas;200 x 275 cm;1910;\N;48
60;335;3;Improvisation 9;Oil on canvas;110 x 110 cm;1910;\N;48
61;337;3;Improvisation 10;Oil on canvas;120 x 140 cm;1910;\N;49
62;338;3;Improvisation 11;Oil on canvas;97.5 x 106.5 cm;1910;\N;48
63;341;3;Studie für Landschaft mit Regen;Oil on cardoard;33 x 45.5 cm;1910;\N;48
64;342;3;Landschaft mit Bewegten Bergen;Oil on cardboard;33 x 44.7 cm;1910;\N;47
65;343;3;Landschaft mit Fabrikschornstein;Oil on canvas;66.2 x 82 cm;1910;\N;48
66;350;3;Herbstlandschaft mit Baum;Oil on cardboard;32.8 x 44.1 cm;1910;\N;48
67;355;3;Improvisation 13;Oil on canvas;120 x 140 cm;1910;\N;49
68;356;3;Improvisation 14;Oil on canvas;73 x 125 cm;1910;\N;48
69;359;3;Komposition III;Oil on canvas;190 x 250 cm;1910;\N;\N
70;360;3;Improvisation 16;Oil on canvas;110 x 110 cm;1910;\N;\N
71;361;3;Das jüngste Gericht;Oil on canvas;125 x 73 cm;1910;\N;7
72;365;3;Die Kuh;Oil on canvas;95.5 x 105 cm;1910;\N;48
73;370;3;Glasbild mit Sonne;Hinterglasbild;30.6 x 40.3 cm;1910;\N;48
74;374;3;Romantische Landschaft;Oil on canvas;94.3 x 129 cm;1911;\N;48
75;375;3;Impression III (Konzert);Oil on canvas;77.5 x 100 cm;1911;\N;48
76;376;3;Impression I (Fontäne);Oil on canvas;95 x 135 cm;1911;\N;\N
77;377;3;Lyrisches;Oil on canvas;94 x 130 cm;1911;\N;48
78;378;3;Bild mit Troika;Oil on cardboard;70 x 100 cm;1911;\N;48
79;379;3;Araber II;Oil on canvas;70 x 92.5 cm;1911;\N;48
