id;name;type;place;town;country;latitude;longitude;place_tgn
1;Ausstellungshaus am Aachener Tor;exhibition buildings;Cologne;Cologne;DE;50.933333;6.95;7004446
2;Deutscher Künstlerbund;\N;Berlin;Berlin;DE;\N;52.516667;13.4
3;Ausstellungshaus am Kurfürstendamm 208/9;exhibition buildings;Berlin;\N;DE;52.516667;13.4;7003712
4;Gebäude der Secession;exhibition buildings;Vienna;\N;AT;48.2167;16.3667;7003321
5;Galerie B. Weill;art galleries;Paris;\N;FR;48.866667;2.333333;7008038
6;Pavillon pod Kinského zahradou löschen;unknown;Prague;Prague;CZ;50.1;14.4333;7006464
7;Galeries Henry Graves and Co Ltd.;art galleries;Paris;\N;FR;48.866667;2.333333;7008038
8;Galerie Haussmann;art galleries;Paris;\N;FR;48.866667;2.333333;7008038
9;Galeries Serrurier;art galleries;Paris;\N;FR;48.866667;2.333333;7008038
10;Galeries Bernheim-Jeune & Fils;\N;Paris;\N;FR;48.866667;2.333333;7008038
11;Műcsarnok;exhibition buildings;Budapest;Budapest;HU;47.5;19.05;7006280
12;Serres de la Ville de Paris (Cours-la-Reine);others;Paris;\N;FR;48.866667;2.333333;7008038
13;Royal Institution;unknown;Liverpool;\N;GB;53.416667;-3;7010597
14;Grand Palais des Champs Elysées;exhibition buildings;Paris;\N;FR;48.866667;2.333333;7008038
15;Giardini Pubblici;others;Venice;\N;IT;45.438611;12.326667;7018159
16;Galerie de L'Indépendance Artistique;art galleries;Paris;\N;FR;48.866667;2.333333;7008038
17;Stedelijk Museum;museums;Amsterdam;\N;NL;52.35;4.916667;7006952
18;Galleries of the Alpine Club;art galleries;London;\N;GB;51.514248;-0.093145;7011781
19;Galerie Druet;art galleries;Paris;\N;FR;48.866667;2.333333;7008038
20;Hotel des Architectes;unknown;Marseille;\N;FR;43.285413;5.37606;7008781
21;Carnegie Institute;museums;Pittsburgh;\N;US;40.4333;-79.9833;7013927
22;Исторический музей;museums;Moscow;\N;RU;55.75;37.7;7012974
23;Galerie Miethke;art galleries;Vienna;\N;AT;48.2167;16.3667;7003321
24;Kunstzaal Oldenzeel;art galleries;Rotterdam;\N;NL;51.916667;4.5;7006792
25;Екатериниский зал;others;Saint Petersburg;\N;RU;59.8833;30.25;7010273
26;Kunsthalle Bremen;museums;Bremen;Bremen;DE;53.083333;8.8;7005286
27;Paul Cassirer;art galleries;Berlin;\N;DE;52.516667;13.4;7003712
28;Galeries Durand-Ruel;art galleries;Paris;\N;FR;48.866667;2.333333;7008038
29;Kunsthalle Bâle;exhibition buildings;Basel;Basel;CH;47.558395;7.573271;7007269
30;MM. Bernheim-Jeune & Cie;art galleries;Paris;Paris;FR;48.866667;2.333333;7008038
31;Společenský klub "Slavia";unknown;Prague;\N;CZ;50.1;14.4333;7006464
32;Ausstellungsgebäude auf der Brühlesche Terrasse;exhibition buildings;Dresden;\N;DE;51.05;13.75;7004455
33;Ausstellungsgelände Botanischer Garten Flora;exhibition buildings;Cologne;Köln;DE;50.933333;6.95;7004446
34;Königliches Kunstausstellungsgebäude am Königsplatz;exhibition buildings;Munich;\N;DE;48.15;11.583333;7004333
35;Galleries in Dering Yard;unknown;London;\N;GB;51.514248;-0.093145;7011781
36;Großherzogliches Museum für Kunst und Kunstgewerbe;museums;Weimar;\N;DE;50.983333;11.316667;7012886
37;Eduard Schulte, Kunsthandlung;art galleries;Berlin;\N;DE;52.516667;13.4;7003712
38;Chateau des Rohan;others;Strasbourg;\N;FR;48.600381;7.787355;7012346
39;Hôtel Drouot;auction houses;Paris;\N;FR;48.866667;2.333333;7008038
40;Дом Ивана Кузнецова;private;Moscow;Mosow;RU;55.75;37.7;7012974
41;Museum der bildenden Künste;museums;Stuttgart;\N;DE;48.766667;9.183333;7004425
42;Kunsthalle Mannheim;exhibition buildings;Mannheim;\N;DE;49.488333;8.464722;7005179
43;Städtischer Kunstpalast;exhibition buildings;Dusseldorf;\N;DE;51.216667;6.766667;7004443
44;Kunsthandel C. M. Van Gogh;art galleries;Amsterdam;\N;NL;52.35;4.916667;7006952
45;Ostende Centre d'Art;arts associations;Ostend;\N;BE;51.223392;2.911854;7007967
46;Galerie Eug. Blot;art galleries;Paris;\N;FR;48.866667;2.333333;7008038
47;Photo-Secession Galleries;art galleries;New York;\N;US;40.7;-74;7007567
48;Дом Строгановскаго училища;others;Moscow;\N;RU;55.75;37.7;7012974
49;Macbeth Galleries;art galleries;New York;\N;US;40.7;-74;7007567
50;Kunstsalon W. Zimmermann;art galleries;Munich;\N;DE;48.15;11.583333;7004333
51;Palais des Beaux-Arts;museums;Liège;\N;BE;50.638674;5.570228;7007945
52;Topičův salon;art galleries;Prague;\N;CZ;50.1;14.4333;7006464
53;Les Indépendants Cercle d'Art;artist associations;Brussels;\N;BE;50.833333;4.333333;7007868
54;Royal Albert Hall;others;London;\N;GB;51.514248;-0.093145;7011781
55;Galerie Kahnweiler;art galleries;Paris;\N;FR;48.866667;2.333333;7008038
56;Moderne Kunsthandlung;art galleries;Munich;\N;DE;48.15;11.583333;7004333
57;Galerie Notre-Dame-des-Champs;art galleries;Paris;\N;FR;48.866667;2.333333;7008038
58;V pomeshenijah muzeja i "menshikovskih komnatah";museums;Saint Petersburg;\N;RU;59.8833;30.25;7010273
59;Metropolitan Museum of Art;museums;New York;New York;US;40.7;-74;7007567
60;Larensche Kunsthandel;art galleries;Amsterdam;\N;NL;52.35;4.916667;7006952
61;Murray Hill Gallery;art galleries;New York;\N;US;40.7;-74;7007567
62;Gebäude der Secession;exhibition buildings;Berlin;\N;DE;52.516667;13.4;7003712
63;Jardin des Tuileries, Serres de l'Orangerie;others;Paris;\N;FR;48.866667;2.333333;7008038
64;Carfax Gallery;art galleries;London;\N;GB;51.514248;-0.093145;7011781
65;Nevskiy 68;unknown;Saint Petersburg;\N;RU;59.8833;30.25;7010273
66;Haas Gallery;art galleries;New York;\N;US;40.7;-74;7007567
67;Galleries of the Royal Society of British Artists;exhibition buildings;London;\N;GB;51.514248;-0.093145;7011781
68;Galeries Devambez;art galleries;Paris;\N;FR;48.866667;2.333333;7008038
69;Hôtel Drouot, Salle No. 8;\N;Paris;\N;FR;48.866667;2.333333;7008038
70;Hedendaagsche Museum - Musée Moderne;museums;Brussels;\N;BE;50.833333;4.333333;7007868
71;Museum Folkwang;museums;Hagen;\N;DE;51.35;7.466667;7005154
72;Brakl[s Moderne Kunsthandlung];art galleries;Munich;\N;DE;48.15;11.583333;7004333
73;Moderne Galerie (Heinrich Thannhauser);art galleries;Munich;\N;\N;48.15;11.583333;7004333
74;Ministère des Sciences et des Arts;others;Brussels;\N;BE;50.833333;4.333333;7007868
75;Via della Colonna N. 27-29;unknown;Florence;\N;IT;43.766667;11.25;7000457
76;Городской музей;museums;Kiev;\N;UA;50.4333;30.5167;7010171
77;Nevsky Prospekt 42;unknown;Saint Petersburg;\N;RU;59.8833;30.25;7010273
78;Sveriges Allmänna Konstförening;arts associations;Stockholm;\N;SE;59.3333;18.0833;7009861
79;Palais du Louvre - Pavillon de Marsan;museums;Paris;\N;FR;48.866667;2.333333;7008038
80;Diorama;others;Christiania;\N;NO;59.9333;10.75;7009573
81;Galerie A. Vollard;art galleries;Paris;\N;FR;48.866667;2.333333;7008038
